152	164	6973	7289	635	1182	51694	53511
5	46	65	116	7	121	152	280
0.0329	0.2805	0.0093	0.0159	0.011	0.1024	0.0029	0.0052
14	158	1606	1778	15	1310	17351	18676
1	8	273	282	2	21	1059	1082
0.0714	0.0506	0.17	0.1586	0.1333	0.016	0.061	0.0579
75	1567	7775	9417	205	9974	59229	69408
3	4	187	194	8	14	481	503
0.04	0.0026	0.0241	0.0206	0.039	0.0014	0.0081	0.0072
17	1045	2110	3172	18	6646	22760	29424
0	63	82	145	0	287	230	517
0	0.0603	0.0389	0.0457	0	0.0432	0.0101	0.0176
415	417	4436	5268	1870	2192	41424	45486
31	106	266	403	78	387	841	1306
0.0747	0.2542	0.06	0.0765	0.0417	0.1766	0.0203	0.0287
17	19	3891	3927	20	94	32792	32906
1	11	275	287	2	28	1003	1033
0.0588	0.5789	0.0707	0.0731	0.1	0.2979	0.0306	0.0314
9	1	2217	2227	10	6	22841	22857
1	0	120	121	2	0	533	535
0.1111	0	0.0541	0.0543	0.2	0	0.0233	0.0234
232	1480	5467	7179	1161	8878	45731	55770
3	0	114	117	7	0	303	310
0.0129	0	0.0209	0.0163	0.006	0	0.0066	0.0056
152	164	6973	7289	635	1182	51694	53511
5	44	62	111	6	116	141	263
0.0329	0.2683	0.0089	0.0152	0.0094	0.0981	0.0027	0.0049
16	155	1339	1510	38	1318	15832	17188
3	6	159	168	9	9	661	679
0.1875	0.0387	0.1187	0.1113	0.2368	0.0068	0.0418	0.0395
18	0	2274	2292	23	0	24752	24775
2	0	13	15	6	0	25	31
0.1111	0	0.0057	0.0065	0.2609	0	0.001	0.0013
610	1414	4734	6758	2679	8336	42040	53055
16	110	116	242	48	414	306	768
0.0262	0.0778	0.0245	0.0358	0.0179	0.0497	0.0073	0.0145
523	170	2580	3273	2642	1973	25878	30493
6	10	42	58	23	24	98	145
0.0115	0.0588	0.0163	0.0177	0.0087	0.0122	0.0038	0.0048
610	1414	4734	6758	2679	8336	42040	53055
14	119	110	243	25	421	230	676
0.023	0.0842	0.0232	0.036	0.0093	0.0505	0.0055	0.0127
